Study;Phase;Litter;Tag.color;Treatment;Moment;Aleatorization;Video.Drive;Video.YT;Link.YT;Video.Forms;Day;Part;Observer;Head.down;Interaction;Activity;Sits.with.difficulty;Wags.tail;Total;Analgesia;Times.watched
training;1;19;green;Iodine;-24;1;21070_-24h_16G;Video 05;https://youtu.be/02QANFJ1zvc;1;1;single;2;0;0;0;1;1;2;0;1
training;1;19;green;Iodine;-24;1;21070_-24h_16G;Video 05;https://youtu.be/02QANFJ1zvc;1;1;single;6;0;0;0;1;0;1;0;1
training;1;19;green;Iodine;-24;1;21070_-24h_16G;Video 05;https://youtu.be/02QANFJ1zvc;1;1;single;1;0;0;0;0;0;0;0;1
training;1;19;green;Iodine;-24;1;21070_-24h_16G;Video 05;https://youtu.be/02QANFJ1zvc;1;1;single;3;0;0;0;0;1;1;0;1
training;1;19;green;Iodine;-24;1;21070_-24h_16G;Video 05;https://youtu.be/02QANFJ1zvc;1;1;single;4;0;0;0;0;1;1;0;1
training;1;19;green;Iodine;-24;1;21070_-24h_16G;Video 05;https://youtu.be/02QANFJ1zvc;1;1;single;5;0;0;0;1;1;2;0;2
training;1;23;green;Iodine;-24;2;6274_-24h_20G;Video 07;https://youtu.be/U77hCv_SLcQ;2;1;single;2;0;0;0;0;0;0;0;1
training;1;23;green;Iodine;-24;2;6274_-24h_20G;Video 07;https://youtu.be/U77hCv_SLcQ;2;1;single;6;1;0;0;1;0;2;0;2
training;1;23;green;Iodine;-24;2;6274_-24h_20G;Video 07;https://youtu.be/U77hCv_SLcQ;2;1;single;1;0;0;0;0;0;0;0;1
training;1;23;green;Iodine;-24;2;6274_-24h_20G;Video 07;https://youtu.be/U77hCv_SLcQ;2;1;single;3;1;0;0;1;0;2;0;1
training;1;23;green;Iodine;-24;2;6274_-24h_20G;Video 07;https://youtu.be/U77hCv_SLcQ;2;1;single;4;0;0;0;0;0;0;0;1
training;1;23;green;Iodine;-24;2;6274_-24h_20G;Video 07;https://youtu.be/U77hCv_SLcQ;2;1;single;5;0;0;0;0;0;0;0;2
training;1;19;green;Iodine;0-1;3;21070_0-1h_16G;Video 06;https://youtu.be/AHoUHJw-6HE;3;1;single;2;0;0;0;1;1;2;0;1
training;1;19;green;Iodine;0-1;3;21070_0-1h_16G;Video 06;https://youtu.be/AHoUHJw-6HE;3;1;single;6;0;0;1;1;1;3;1;1
